customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,70.63,4670.68,No
CUST-00002,Female,1,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),60.65,1600.24,Yes
CUST-00003,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.45,3770.03,Yes
CUST-00004,Male,0,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,57.58,1454.84,No
CUST-00005,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),62.82,2033.82,No
CUST-00006,Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.77,676.37,Yes
CUST-00007,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),79.97,3186.88,Yes
CUST-00008,Male,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.02,181.26,No
CUST-00009,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),54.89,1682.15,No
CUST-00010,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),79.21,5276.32,No
CUST-00011,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,79.36,2228.54,Yes
CUST-00012,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.53,1660.54,No
CUST-00013,Male,0,No,No,58,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.79,2735.3,Yes
CUST-00014,Male,0,No,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.03,1448.39,No
CUST-00015,Female,0,Yes,No,14,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,69.45,972.8,No
CUST-00016,Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.28,631.63,No
CUST-00017,Female,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.09,1407.92,No
CUST-00018,Female,0,No,Yes,6,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,46.12,341.47,No
CUST-00019,Female,1,Yes,No,26,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,71.91,1778.21,No
CUST-00020,Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,80.59,1211.96,Yes
CUST-00021,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),74.87,544.15,Yes
CUST-00022,Male,0,Yes,No,24,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.7,1156.55,No
CUST-00023,Female,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.62,1082.54,No
CUST-00024,Female,1,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.8,1146.22,No
CUST-00025,Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,65.03,4125.7,Yes
CUST-00026,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),66.8,1839.07,No
CUST-00027,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.38,254.8,No
